AuthID,FieldID
A-10878,F-3
A-10879,F-12
A-1088,F-2
A-1088,F-8
A-10880,F-6
A-10880,F-11
A-10881,F-11
A-10882,F-2
A-10883,F-6
A-10884,F-1
A-10885,F-7
A-10885,F-8
A-10886,F-6
A-10887,F-4
A-10889,F-1
A-1089,F-3
A-10890,F-6
A-10891,F-10
A-10892,F-1
A-10893,F-7
A-10894,F-4
A-10895,F-9
A-10896,F-3
A-10897,F-3
A-10898,F-3
A-10899,F-8
A-109,F-8
A-1090,F-9
A-10900,F-5
A-10901,F-14
A-10902,F-2
A-10903,F-9
A-10904,F-4
A-10905,F-6
A-10906,F-5
A-10907,F-10
A-10908,F-14
A-10909,F-8
A-1091,F-7
A-10910,F-8
A-10911,F-12
A-10912,F-9
A-10913,F-1
A-10914,F-0
A-10915,F-10
A-10916,F-6
A-10917,F-5
A-10917,F-8
A-10918,F-4
A-10919,F-2
A-1092,F-5
A-10920,F-6
A-10921,F-5
A-10921,F-10
A-10922,F-3
A-10923,F-10
A-10924,F-5
A-10925,F-5
A-10926,F-2
A-10927,F-7
A-10928,F-6
A-10929,F-6
A-1093,F-0
A-1093,F-1
A-10930,F-2
A-10930,F-5
A-10931,F-1
A-10932,F-2
A-10933,F-7
A-10934,F-5
A-10935,F-7
A-10935,F-9
A-10936,F-7
A-10937,F-3
A-10938,F-14
A-10939,F-14
A-1094,F-5
A-10940,F-0
A-10941,F-4
A-10941,F-11
A-10942,F-11
A-10943,F-7
A-10944,F-10
A-10945,F-13
A-10946,F-6
A-10946,F-12
A-10947,F-6
A-10948,F-4
A-10949,F-1
A-10949,F-5
A-1095,F-4
A-1095,F-9
A-10950,F-2
A-10951,F-1
A-10952,F-2
A-10953,F-10
A-10954,F-9
A-10955,F-7
A-10955,F-8
A-10956,F-4
A-10957,F-6
A-10958,F-4
A-10959,F-12
A-1096,F-11
A-10961,F-7
A-10962,F-11
A-10963,F-4
A-10964,F-10
A-10965,F-12
A-10966,F-4
A-10967,F-3
A-10968,F-12
A-10969,F-9
A-1097,F-12
A-10970,F-12
A-10971,F-13
A-10972,F-10
A-10973,F-9
A-10974,F-14
A-10975,F-12
A-10976,F-4
A-10977,F-3
A-10978,F-6
A-10978,F-10
A-10979,F-8
A-1098,F-1
A-10980,F-12
A-10981,F-10
A-10982,F-10
A-10983,F-1
A-10984,F-9
A-10985,F-10
A-10986,F-2
A-10987,F-6
A-10988,F-11
A-10988,F-14
A-10989,F-2
A-10989,F-6
A-1099,F-4
A-10990,F-10
A-10991,F-3
A-10992,F-10
A-10993,F-13
A-10994,F-12
A-10996,F-2
A-10997,F-5
A-10998,F-5
A-10999,F-0
A-11,F-8
A-11,F-14
A-110,F-8
A-1100,F-10
A-11000,F-10
A-11001,F-5
A-11002,F-8
A-11003,F-0
A-11004,F-2
A-11005,F-10
A-11006,F-2
A-11006,F-6
A-11007,F-2
A-11008,F-2
A-11009,F-0
A-1101,F-2
A-11010,F-10
A-11011,F-10
A-11012,F-9
A-11013,F-6
A-11014,F-9
A-11015,F-8
A-11016,F-7
A-11017,F-6
A-11018,F-1
A-11019,F-5
A-11019,F-8
A-11020,F-7
A-11021,F-9
A-11022,F-1
A-11023,F-5
A-11024,F-2
A-11024,F-8
A-11025,F-8
A-11026,F-3
A-11028,F-3
A-11029,F-3
A-1103,F-3
A-11030,F-7
A-11031,F-10
A-11032,F-7
A-11033,F-5
A-11034,F-14
A-11035,F-6
A-11036,F-1
A-11037,F-13
A-11038,F-10
A-1104,F-6
A-11040,F-12
A-11042,F-12
A-11043,F-12
A-11044,F-10
A-11045,F-3
A-11047,F-5
A-11048,F-11
A-11049,F-1
A-1105,F-4
A-1105,F-12
A-11050,F-10
A-11051,F-7
A-11052,F-9
A-11053,F-2
A-11054,F-0
A-11055,F-4
A-11057,F-8
A-11058,F-11
A-11059,F-8
A-1106,F-14
A-11060,F-10
A-11060,F-11
A-11061,F-9
A-11062,F-7
A-11063,F-1
A-11064,F-5
A-11065,F-11
A-11066,F-13
A-11067,F-8
A-11068,F-9
A-11069,F-10
A-1107,F-2
A-11070,F-9
A-11071,F-6
A-11072,F-5
A-11073,F-2
A-11074,F-4
A-11075,F-12
A-11076,F-7
A-11077,F-3
A-11078,F-2
A-11079,F-3
A-1108,F-5
A-11080,F-11
A-11081,F-4
A-11082,F-2
A-11084,F-11
A-11085,F-13
A-11086,F-2
A-11087,F-7
A-11088,F-6
A-11089,F-3
A-1109,F-14
A-11090,F-12
A-11091,F-9
A-11092,F-2
A-11093,F-2
A-11094,F-4
A-11095,F-13
A-11096,F-4
A-11097,F-12
A-11098,F-1
A-11099,F-14
A-111,F-0
A-1110,F-4
A-11100,F-8
A-11101,F-1
A-11102,F-7
A-11103,F-14
A-11104,F-3
A-11105,F-9
A-11106,F-10
A-11107,F-8
A-11108,F-2
A-11109,F-3
A-1111,F-7
A-11110,F-12
A-11111,F-14
A-11112,F-7
A-11113,F-10
A-11113,F-11
A-11114,F-2
A-11114,F-4
A-11115,F-4
A-11115,F-12
A-11116,F-7
A-11117,F-8
A-11118,F-6
A-11119,F-8
A-1112,F-2
A-11120,F-4
A-11121,F-1
A-11121,F-3
A-11122,F-0
A-11122,F-1
A-11123,F-2
A-11124,F-8
A-11125,F-7
A-11126,F-10
A-11127,F-3
A-11128,F-10
A-11129,F-2
A-1113,F-3
A-11130,F-13
A-11131,F-4
A-11132,F-14
A-11133,F-13
A-11134,F-12
A-11135,F-10
A-11136,F-1
A-11137,F-14
A-11138,F-6
A-11139,F-3
A-1114,F-12
A-11140,F-9
A-11141,F-3
A-11142,F-2
A-11143,F-9
A-11144,F-10
A-11145,F-1
A-11146,F-14
A-11147,F-2
A-11148,F-8
A-11149,F-8
A-1115,F-6
A-11150,F-8
A-11151,F-9
A-11152,F-0
A-11152,F-6
A-11153,F-13
A-11154,F-2
A-11155,F-10
A-11156,F-7
A-11157,F-10
A-11158,F-5
A-11159,F-2
A-11159,F-5
A-1116,F-12
A-11160,F-9
A-11161,F-11
A-11163,F-7
A-11164,F-10
A-11164,F-13
A-11165,F-8
A-11166,F-7
A-11167,F-1
A-11168,F-10
A-11169,F-7
A-1117,F-0
A-1117,F-8
A-11170,F-12
A-11171,F-0
A-11172,F-1
A-11173,F-2
A-11174,F-7
A-11175,F-4
A-11176,F-2
A-11177,F-5
A-11178,F-14
A-11179,F-1
A-1118,F-0
A-11180,F-0
A-11181,F-10
A-11182,F-11
A-11183,F-1
A-11184,F-0
A-11185,F-8
A-11186,F-11
A-11187,F-2
A-11188,F-13
A-11189,F-1
A-1119,F-8
A-11190,F-8
A-11191,F-12
A-11192,F-4
A-11193,F-7
A-11194,F-14
A-11195,F-2
A-11196,F-7
A-11197,F-9
A-11199,F-6
A-112,F-3
A-1120,F-7
A-11200,F-12
A-11201,F-2
A-11202,F-8
A-11203,F-4
A-11204,F-11
A-11207,F-4
A-11208,F-7
A-11209,F-5
A-1121,F-2
A-11210,F-4
A-11211,F-3
A-11212,F-5
A-11213,F-6
A-11214,F-0
A-11215,F-11
A-11216,F-1
A-11217,F-2
A-11218,F-10
A-11219,F-5
A-1122,F-1
A-11220,F-2
A-11221,F-2
A-11222,F-3
A-11223,F-10
A-11224,F-14
A-11225,F-11
A-11226,F-10
A-11227,F-10
A-11227,F-13
A-11228,F-14
A-11229,F-1
A-11229,F-10
A-1123,F-7
A-11230,F-10
A-11231,F-8
A-11232,F-2
A-11233,F-2
A-11233,F-10
A-11234,F-14
A-11237,F-6
A-11238,F-5
A-11239,F-8
A-1124,F-0
A-11240,F-1
A-11241,F-11
A-11242,F-4
A-11243,F-7
A-11244,F-9
A-11245,F-2
A-11246,F-10
A-11247,F-13
A-11248,F-3
A-11249,F-6
A-1125,F-2
A-11250,F-9
