PaperID,AuthID
E09-2010,A-16405
E09-2010,A-11536
E09-2011,A-13597
E09-2011,A-16811
E09-2012,A-3415
E09-2012,A-13829
E09-2013,A-14166
E09-2014,A-7362
E09-2014,A-15967
E09-2015,A-15782
E09-2015,A-2544
E09-2015,A-3330
E09-2016,A-8284
E09-2016,A-7850
E09-2016,A-1281
E09-2016,A-11978
E09-2017,A-14566
E09-2017,A-6835
E09-2017,A-1312
E09-2017,A-9259
E12-1001,A-7889
E12-1002,A-14413
E12-1002,A-14603
E12-1003,A-13885
E12-1003,A-7691
E12-1004,A-3473
E12-1004,A-1889
E12-1004,A-3831
E12-1004,A-17388
E12-1005,A-7886
E12-1005,A-16672
E12-1006,A-9265
E12-1006,A-4732
E12-1006,A-2775
E12-1007,A-8877
E12-1007,A-12215
E12-1007,A-7979
E12-1008,A-14215
E12-1008,A-2803
E12-1009,A-9252
E12-1009,A-3461
E12-1010,A-553
E12-1011,A-13835
E12-1012,A-17490
E12-1012,A-9555
E12-1012,A-14603
E12-1012,A-3054
E12-1013,A-2884
E12-1013,A-9043
E12-1013,A-13535
E12-1014,A-7691
E12-1014,A-3294
E12-1014,A-12678
E12-1014,A-8970
E12-1015,A-7546
E12-1016,A-17761
E12-1016,A-12868
E12-1016,A-18343
E12-1016,A-1239
E12-1016,A-4348
E12-1017,A-5641
E12-1017,A-14483
E12-1017,A-2383
E12-1017,A-4954
E12-1017,A-18608
E12-1018,A-14850
E12-1018,A-11107
E12-1019,A-17493
E12-1019,A-17263
E12-1019,A-6179
E12-1019,A-11500
E12-1019,A-6489
E12-1020,A-15855
E12-1020,A-16515
E12-1021,A-5240
E12-1021,A-18806
E12-1021,A-405
E12-1021,A-10714
E12-1022,A-4050
E12-1022,A-3425
E12-1023,A-10496
E12-1023,A-14477
E12-1023,A-14285
E12-1024,A-2646
E12-1024,A-753
E12-1024,A-7877
E12-1024,A-587
E12-1025,A-10722
E12-1025,A-16747
E12-1025,A-4348
E12-1026,A-18760
E12-1026,A-16529
E12-1026,A-1225
E12-1027,A-14684
E12-1027,A-3696
E12-1028,A-7663
E12-1028,A-2870
E12-1029,A-4931
E12-1029,A-8547
E12-1030,A-12525
E12-1030,A-17470
E12-1031,A-1813
E12-1031,A-16710
E12-1031,A-2837
E12-1032,A-15946
E12-1032,A-9944
E12-1033,A-11050
E12-1033,A-9736
E12-1034,A-2684
E12-1034,A-16341
E12-1034,A-15626
E12-1034,A-3846
E12-1035,A-2167
E12-1036,A-18494
E12-1036,A-14603
E12-1037,A-14027
E12-1037,A-13881
E12-1038,A-11611
E12-1038,A-12724
E12-1039,A-218
E12-1039,A-12445
E12-1039,A-10238
E12-1040,A-6694
E12-1041,A-4101
E12-1041,A-17461
E12-1041,A-2277
E12-1042,A-12552
E12-1042,A-5485
E12-1042,A-4600
